ticker,fechamento,wma602,score
COGN3,2.97,3.39,4
CRFB3,8.48,12.19,3
GOLL4,1.47,8.68,3
HYPE3,25.4,28.6,3
AZUL4,0.9,15.84,2
BEEF3,5.04,7.8,2
BRAP4,15.6,16.12,2
CSNA3,8.25,12.17,2
ECOR3,6.75,7.4,2
FLRY3,12.85,14.7,2
GGBR4,15.25,16.25,2
GOAU4,8.36,8.76,2
QUAL3,2.13,8.25,2
RADL3,14.85,22.39,2
RAIL3,18.82,19.63,2
RENT3,42.96,44.59,2
UGPA3,16.29,16.45,2
VALE3,52.1,55.37,2
BRKM5,11.01,24.26,1
CVCB3,2.37,9.12,1
